date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
17:18:50	30310/30310	---MCZ	200	added ('OK')	text/html	date:Fri,%2019%20Jun%202020%2007:19:10%20GMT	https://www.beautystatcosmetics.com/en/pre-6.html	C:/Users/user/CODE/dfog/www.beautystatcosmetics.com/en/pre-6.html	(from )
17:18:50	23/23	---M--	200	added ('OK')	text/plain	etag:%2250d8a018e8ae96732c8a2ba663c61d4e%22	https://www.beautystatcosmetics.com/robots.txt		(from )
17:18:50	110667/110667	---MCZ	200	added ('OK')	text/css	date:Fri,%2019%20Jun%202020%2007:19:12%20GMT	https://www.beautystatcosmetics.com/en/assets/css/site.min.css?v=1592542299918	C:/Users/user/CODE/dfog/www.beautystatcosmetics.com/en/assets/css/site.min9349.css	(from https://www.beautystatcosmetics.com/en/pre-6.html)
17:18:50	17636/17636	---MCZ	200	added ('OK')	text/css	date:Fri,%2019%20Jun%202020%2007:19:12%20GMT	https://www.beautystatcosmetics.com/en/assets/css/pages/pre-6.min.css?v=1592542299918	C:/Users/user/CODE/dfog/www.beautystatcosmetics.com/en/assets/css/pages/pre-6.min9349.css	(from https://www.beautystatcosmetics.com/en/pre-6.html)
17:18:50	1609/1609	---M--	200	added ('OK')	image/png	etag:%22035c545f5c589c9342507abfd0ff60dc%22	https://www.beautystatcosmetics.com/pub-assets/fileuploads/images/pre-6/logo.png	C:/Users/user/CODE/dfog/www.beautystatcosmetics.com/pub-assets/fileuploads/images/pre-6/logo.png	(from https://www.beautystatcosmetics.com/en/pre-6.html)
17:18:51	39037/39037	---MCZ	200	added ('OK')	text/html	date:Fri,%2019%20Jun%202020%2007:19:10%20GMT	https://www.beautystatcosmetics.com/en/order.html	C:/Users/user/CODE/dfog/www.beautystatcosmetics.com/en/order.html	(from https://www.beautystatcosmetics.com/en/pre-6.html)
17:18:52	1555/1555	---M--	400	error ('Bad%20Request')	text/html	date:Fri,%2026%20Jun%202020%2000:18:51%20GMT	https://www.googletagmanager.com/gtm.js?id=	C:/Users/user/CODE/dfog/www.googletagmanager.com/gtm.85445.delayed	(from https://www.beautystatcosmetics.com/en/pre-6.html)
17:18:52	90681/90681	---MCZ	200	added ('OK')	text/html	date:Fri,%2019%20Jun%202020%2007:19:09%20GMT	https://www.beautystatcosmetics.com/en/order-a.html	C:/Users/user/CODE/dfog/www.beautystatcosmetics.com/en/order-a.html	(from https://www.beautystatcosmetics.com/en/pre-6.html)
17:18:55	68689/68689	---MCZ	200	added ('OK')	application/javascript	date:Fri,%2008%20May%202020%2011:00:20%20GMT	http://d16hdrba6dusey.cloudfront.net/ctrwow_fp_analytics.min.js	C:/Users/user/CODE/dfog/d16hdrba6dusey.cloudfront.net/ctrwow_fp_analytics.min.js	(from https://www.beautystatcosmetics.com/en/pre-6.html)
17:19:00	100518/100518	---MCZ	200	added ('OK')	application/javascript	date:Fri,%2019%20Jun%202020%2007:19:12%20GMT	https://www.beautystatcosmetics.com/en/assets/js/lib.min.js?v=1592542299918	C:/Users/user/CODE/dfog/www.beautystatcosmetics.com/en/assets/js/lib.min9349.js	(from https://www.beautystatcosmetics.com/en/pre-6.html)
